Title,Author,Date,Stars(out_of_10),Review,Sentiment_Score,Polarity
May the Blood Flow,Tweetienator,6 June 2019,8,denzel washington is just great and the equalizer belongs like the john wick keanu reeves and taken liam neeson movies to the new masterclass of revengevigilante movies the equalizer is a true to the heart successor of our former or still heroes of long gone times like mr eastwood and mr bronson the king is dead long live the king so to say the equalizer is great stuff if you like your action spiced up with a good shot of violence,0.9451,1
Denzel Washington made this film better than it was,Top_Dawg_Critic,27 July 2018,8,so i just finished watching equalizer again so i can watch equalizer for the comparison its too bad both films had the same director and writers as they have a bad habit of dragging out the writing and the scenes both films at just over hours is just way too long especially in the simplistic singular plot or however that plot still worked and mainly because of the entire casts especially denzel washingtons performances certainly had better pacing and a more suspenseful plot albeit predictable however it had many plot issues and holes as well as some scenes that needed to be edited down the new supporting cast was not as strong either which did i enjoy better probably by a small margin but they both got an from me as they each had their merits and issues nevertheless still enjoyable i hope if they come out with a they speed up the pacing within the writing and directing,0.9337,1
Denzel nails it,Leofwine_draca,8 September 2015,8,an intense and towering performance from denzel washington as one of cinemas bestacted action heroes is what makes the equalizer stand out from the crowd although as a film its also a very decent thriller its supposedly a big screen version of the tv series with edward woodward although think of it as your usual vigilante movie and youll be closer lets be honest here the plotting in the equalizer is nothing special and the russian mob make for clichéd villains its the execution where this film excels its not an action filled movie but when the action hits its hard and heavy not shying away from crowdpleasing violence meted out to the villains the extended setpiece ending might be described as die hard in bq and loses the realism a little but but until that point this is tough and gritty filmmaking aside from the excellent washington we get a fine bad guy performance from martin csokas equally intense and the finest ive seen from him and chloe grace moretz is wisely kept offscreen for most of the running time which i was fine with the final shoutout goes to director antoine fuqua whose effortless style makes this a graceful and thoroughly entertaining viewing experience,0.0769,1
A Stylish And Daring Action Thriller,CalRhys,3 October 2014,None,antoine fuquas and denzel washingtons paths collide once more as they come together to create a stylish and daring action thriller about a man with a mysterious past whose quiet life suddenly turns into a rip roaring adventure of guns and thrills both denzel washington and chloe grace moretz give stellar performances and display perfect chemistry as two friends stuck in a world of crime and violence arguably fuquas best film since training day the equalizer is a brutal and merciless tale that explores the russian underworld on the east coast and the corruption ties within the law enforcement of bostons police department,0.765,1
"Gruesome at times, The Equalizer is a rewarding action film for every single Denzel Washington fan out there.",LloydBayer,24 September 2014,7,rooting for a badass hero with a kickass attitude has never been as satisfying as watching denzel washington dish out some brutal punishment this is exactly what you get in the equalizer an action thriller based on the late s tv series of the same name but amped up with ultraviolent realism reunited after their collaboration in training day washington received his first academy award in a leading role and director antoine fuqua are back in this simple yet deadly effective action film using a mark twain quote about people who find their true purpose late in life washington plays robert mccall a loner and tragic widower with a mysterious past on the surface he is an amiable home depot worker who keeps to himself indulging in conversations only when spoken too and slave to some sort of ocd while remaining invisible to people around him after befriending a russian teen escort called alina chloe grace moretz all grownup and discovering she is the victim of sexual abuse mccalls niceguy demeanor melts away to expose an aura reverberating layers of darkening complexity theres a tightly restrained compassion in mccalls eyes fighting a fatherfigure compulsion to do what he must while alinas is a muted plea for deliverance this scene takes place in a diner they frequent in boston and its the first of two powerful moments in the film what follows is the films first action sequence in a tarantinostyled dialogue first and blood splatter later mccall dispatches alinas russian pimp and his goons when news reaches moscow mob kingpin pushkin sends teddy marton csokas to clean up the mess covered with satanic tattoos teddy is anything but the moniker he goes by and with half the boston pd on his payroll its just a matter of when and where mccall is eliminated or so they think having previously scripted the expendables richard wenks story here is nothing new when considering mccalls proverbial set of skills a comparison if you must to certain characters liam neeson has played on the other hand there is a mechanism in place partly due to the aforementioned ocd allowing mccall a brief study of the situation before striking with lethal accuracy while that sounds like a knockoff version of combat tactics employed by guy ritchies titular hero in sherlock homes the payoff is watching mccall take out bad guys with improvised weaponry it gets a bit hokey towards the end with mccall using all manner of booby traps to slice dice and blow up teddys dumberbytheminute henchmen having said that it is still rewarding to watch washington demolish enemy after enemy and this is largely due to csokas terrific portrayal of teddys loathsome nature to that effect the best scenes in the film are when teddy and mccall are facetoface and denting each others armour with nothing but well written dialogues one such scene is a powerful dinner table batteringofwits a taut reimagining of that iconic scene in heat while humour and drama throw some light on bostons mob controlled dirty cops mccalls relationships with his colleagues and even a short segment that suggests his origins as a trained killer the equalizer really shines with fuquas deft handling of action scenes but topping it off is washington in a vigilante role that is the best weve seen in years fans of man on fire washington opposite dakota fanning and léon the professional jean reno opposite natalie portman both films about male heroism influenced by female protégés are in for a visual treat heck who needs improbable superheroes when you have an average joe with extraordinary capabilities and all without hiding behind a mask or costume although compelled to use the nword ill just say ma man denzel doesnt disappoint and neither does the equalizer,0.9829,1
Home Depot EQUALS a bad place to be while on Robert McCall's bad side,mjacksongta,4 November 2015,8,in terms of an action movie i gave the equalizer a but soon after felt the need to watch it again and then upped it to an why well its an action movie but yet theres no crazy car chases theres no bombs or heavy big explosions every where really the only action scenes are the fight scenes and even they dont come that often but when they do come they deliver denzel is as awesome as ever in these scenes and the creativity in these scenes are what sets it apart from every other action movie the main character robert mccall in an ex specialist of some sort you dont know what at first but know that hes highly trained in something and is now working as an ordinary man working at home depot or home mart as it is in the movie he looks like just your every day man but can kill you with just about any everyday weapon and he does this so calmly that big crazy car scenes and explosions would rake away from his character a man that takes the bus to come kill a whole gang is pretty bad ass by any standard as always i dont want to give spoilers but i do recommend this as a good wholesome action movie,0.6602,1
"Mostly atmosphere, zero story",ToddWebb,5 October 2014,6,at the end of it all i found this movie very boring the story is old as dirt the plot is so obvious that as soon as characters appear on screen one can identify hell be killed shell be kidnapped and used as bait something bads gonna happen to him and my alltime favorite hes the innocent likable guy introduced early then ignored for minutes so well forget about him only to have him turn up as a hostage in the big showdown and every prediction is spoton example of bad writing two thugs walking up to a door the last thing thug says to thug as they approach the door whatever you do dont call him little john very next shot inside the door thug starts talking smack and guess what he does when the setup is literally seconds earlier we all see it coming give us the setup in a different location maybe or at least disguise the setup amidst a longer funnyentertaining conversation nope just lay out that one line setup then walk on in we the viewers will just deal with it denzels character is likable i mean insanely likable beyond the depth of my willful suspension of disbelief likable hes always friendly always in a good mood always smiling hes ecstatic just to be alive everyone loves being near him hes never just a guy hes more helpful than a college professor more inspirational than a priest more motivational that a fitness instructor every scene in his workplace which is visited repeatedly throughout the movie includes no less than background guys smiling giddily when denzel arrives to work and laughing loud at every word denzel speaks going to work at home depot sorry home mart surely isnt like that in real life but theres more to denzel isnt there who is this guy whered he come from who knows well never know but clearly hes badass more moves than shakira and deadlier than seal team six he seems to know how to handle any situation and any number of attackers just because no reason hes just awesome if you ever saw the classic comedy planet terror just think of the scene give him the gun give him all the guns because ya know hes just so badass for no logical reason the bad guy was awesome while denzels fight scenes were a lot of superclose blurry shots the few scenes where the bad guy establishes his badness were rather good very tense very violent and cringeworthy the equalizer has all latest bells and whistles with music atmosphere and buildup the one female lead is developed nicely especially compared to every other innocent victim who may as well have stepped out of little house on the prairie much of the movie is very tense and keeps you hanging on to each scene waiting to see what happens next but ultimately we all know denzel will kick ass so its all just a waiting game it felt very long the wait is made so much worse when the viewer knows exactly whats coming theres just no surprises here youve seen this movie times im sure oh yeah and denzel knows everything he appears magically inside buildings and rooms where one shouldnt be able to sneak in he has cell phone numbers one shouldnt have access to the characters even comment on it how the hell did you get that number no answer doesnt matter its a movie just turn off your brain and enjoy the tension building how does denzel know when the bad guys will appear at a time and place so he can intercept them in the night dont know doesnt matter i guess how does denzel sneak into a closetsized room without the occupant noticing how does denzel have time to set up his trap rig wires etc without anyone seeing this work being done who cares the resulting deaths are cool go to sleep tune out enjoy but dont expect to take this movie with you youll have forgotten it by the time you leave the parking lot,-0.9782,0
"If you love Denzel, and you loved Training Day, and your only wish was that that bad-ass could have been a good guy, then this is the movie for you!!!!!",missgriffin,10 September 2014,10,the equalizer is not man on fire the equalizer is not your typical action flick washingtons robert mccall is not selfdestructive or addicted though there are great choreographed fights special effects and fantastic explosions the equalizer is more bourne than bond denzel washington portrays this excia operative who is content to live a meticulously simple life quietly contained but with everbuilding intensity washington turns in another stellar performance chloe grace moretz as the teenage prostitute is a force antoine fuqua the directer who brought us training day which earned denzel his best actor oscar helms this movie with a steady hand his direction of the drama and the action blend seamlessly drawing us into the complexity of this characterdriven piece robert mccall keeps to himself content to live his ordinary life he is every mans man but his steady moral compass and strong sense of justice lead him back into the fray this character is not infallible and he is not looking for trouble he just wants whats right this film is a superbly acted exciting and violent ride in the pursuit of justice there will be blood but this time youll be rooting for the good guy and i a fifty years young woman loved every minute of it,0.9931,1
Cliched but a fun ride yet!,yogiv,23 July 2019,7,cliched and done to death formula but still fun to watch on a night when you dont want to be bothered with something cerebral denzel washington is good as ever the russian mafia doesnt stand a chance in hell anyway am gonna hit the sequel next folks,-0.7134,0
Really enjoyable movie,danielmanson,18 June 2022,8,for years now ive had people tell me i have to watch this and for whatever reason ive kept putting it off today i apologise because this is a fantastic film and i really enjoyed it what struck me straight away was that first mins or so im sold it tells us the characters you can see where its heading and it fished me in quickly from then on it was just an insane and tense ride what was great was that every scene had a purpose there was no messing about no filler scenes with no point everything meant something and thats a rarity in this day and age the suspense by the way wow had me on strings the entire time never knew which was it was heading i really enjoyed the characters as well denzel wasnt just this stereotypical action guy that went round shooting people there was so more more to him more complexity if you will and with that there was more to delve into you definitely get a john wick vibe to this movie and with the main character so if you like that youll like this just a quick mention i would have liked to have seen elenateri more i felt she had a lot of depth that could have been explored i think my only i guess negative was that the villains evilness wasnt explained or explained well not sure if i missed it but i didnt truly get why he was so evil but yeah overall i really enjoyed my time watching this and ill be jumping on the equaliser asap definitely recommend if you like an action a very strong from me today,0.9314,1
